"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\User\Desktop\Nowy folder\ComposeControl.Designer.cs", "C#", 272, 77, 6, 355
"c:\Users\User\Desktop\Nowy folder\ComposeControl.cs", "C#", 210, 37, 21, 268
"c:\Users\User\Desktop\Nowy folder\MainFrame.Designer.cs", "C#", 81, 6, 12, 99
"c:\Users\User\Desktop\Nowy folder\MainFrame.cs", "C#", 13, 0, 2, 15
"c:\Users\User\Desktop\Nowy folder\MenuControl.cs", "C#", 89, 18, 8, 115
"c:\Users\User\Desktop\Nowy folder\Note.cs", "C#", 34, 0, 7, 41
"c:\Users\User\Desktop\Nowy folder\Program.cs", "C#", 12, 0, 0, 12
"c:\Users\User\Desktop\Nowy folder\TracksControl.Designer.cs", "C#", 105, 21, 6, 132
"c:\Users\User\Desktop\Nowy folder\TracksControl.cs", "C#", 87, 0, 9, 96
"Total", "-", 903, 159, 71, 1133
